     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts

     65536,      8459,         0,   628.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1,fb08c41c8902b9a6f4c53467b7b103c0910043918601026af04bd3151e2cd197,"{""d"":12,""p"":0.006,""rounds"":12}","{""avg_itr"":94,""base"":1}"
     65536,      2351,         0,   276.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1,7c42ef747bc8c1cd111b01653b2fd09fe24c19f5e62a651e250428d559ccfecc,"{""d"":12,""p"":0.005,""rounds"":12}","{""avg_itr"":38,""base"":1}"
     65536,       486,         0,   125.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1,e2366d7d90b55bb7ccb3939ea3b71d01d8eafc4c6209b5dcc27d1570adaf1b43,"{""d"":12,""p"":0.004,""rounds"":12}","{""avg_itr"":15,""base"":1}"
    131072,       176,         0,   131.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1,9cbf796dd9141ef11e47be99a64ba1e40268908815ad8e04d822b6dd583835df,"{""d"":12,""p"":0.003,""rounds"":12}","{""avg_itr"":14,""base"":2}"
    655360,       105,         0,   388.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1,1f6e669570eb5051074beff2b1ba17fc2e098221fdf4687cec81c003266666d5,"{""d"":12,""p"":0.002,""rounds"":12}","{""avg_itr"":40,""base"":10}"
   3276800,       100,         0,  1574.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1,d9c014ea7a141b9284a036b1a0367da8210b3baae2e1ff6c7dd93b2046210c60,"{""d"":12,""p"":0.0015,""rounds"":12}","{""avg_itr"":150,""base"":50}"
  21430272,       100,         0,  7282.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1,e0efae10a50385ebba701cf7cf68a4da945f5a91d2ed88f8c475b131ad725616,"{""d"":12,""p"":0.001,""rounds"":12}","{""avg_itr"":654,""base"":327}"


  23330816,         2,         0,170039.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":356}"
  22085632,         1,         0,170176.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":337}"
  23461888,         3,         0,169637.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":358}"
